LSOA,Unemployed,Full-time student,Unemployment Rate,Eastings,Northings
E01001992,30,21,3.2,527632,189893
E01001993,30,33,3.6,527908,189438
E01001995,106,46,9,527923,190777
E01001980,93,75,9.2,533277,189942
E01001981,133,65,14,533503,189946
E01001982,97,68,9.8,533315,189752
E01001983,85,42,9.6,532793,189507
E01002083,57,61,6.8,531866,190018
E01002084,72,41,7.8,532051,189578
E01002085,103,94,8.5,531653,189773
E01002087,88,52,9.8,532211,189207
E01002014,67,23,6.1,530876,189079
E01002015,90,28,11.1,530080,188734
E01002018,67,16,9,530130,189532
E01033085,90,39,7.5,530542,189608
E01033086,65,32,14.4,530446,189582
E01002020,61,36,6.3,529449,189252
E01002022,58,20,4.4,528802,189631
E01002023,30,16,3.6,528634,189049
E01002025,43,27,4.3,528806,189036
E01002013,43,22,5,530019,189195
E01002019,33,22,4.2,529435,189220
E01002021,34,16,4,529570,189203
E01002024,38,21,5.1,530051,188578
E01001998,84,58,6.2,531316,189210
E01001999,84,58,6.8,531763,189153
E01002003,119,87,10.1,531675,189314
E01002004,94,66,8.2,531501,189229
E01002067,111,61,12.8,532802,189325
E01002069,140,89,12.9,533353,189077
E01002070,106,61,9.5,533219,188877
E01002073,92,58,10.3,533277,188648
E01002066,96,79,11,534190,189523
E01002068,136,75,12.5,533910,189349
E01002071,88,79,11.9,533846,189242
E01002072,88,116,9.6,533540,188737
E01002043,95,76,8.8,532254,188702
E01002045,155,77,13.9,532677,188697
E01002046,80,62,9.7,532977,188579
E01002049,86,57,9.4,532662,188925
E01002042,56,50,6.5,532111,188573
E01002044,77,73,7.3,531928,188520
E01002047,60,88,5.9,532091,188542
E01002048,101,65,9.2,531996,188972
E01002016,68,45,5.6,530561,188663
E01002017,135,54,11.3,530532,188648
E01002059,78,35,8.4,530869,188546
E01002060,52,30,4.5,530592,188442
E01002050,42,35,6,533967,188594
E01002051,95,46,10.3,533884,188588
E01002052,66,36,9.2,534146,188408
E01002055,35,20,5.3,533752,188330
E01001994,39,31,3.7,527794,189028
E01002008,26,15,3.3,528386,187804
E01002010,38,21,4.2,527997,188357
E01002011,45,33,4.2,528597,188288
E01002000,62,41,5.9,531334,188884
E01002001,65,81,6,531522,188122
E01002002,80,61,7.1,531444,186827
E01002058,86,52,8.1,532177,188222
E01002053,97,52,11.4,533303,188025
E01002054,126,57,15.8,532809,188400
E01002056,74,75,7,532558,188150
E01002057,77,76,8.9,532074,188210
E01001984,49,29,4.6,529993,188047
E01001985,39,25,3.7,529633,188448
E01001987,42,31,3.7,529146,188168
E01001989,55,22,5.2,529984,188499
E01001986,37,26,3.5,530449,188448
E01001988,51,15,4.4,530284,188393
E01001990,102,40,6.4,530143,188436
E01002062,61,38,4.7,530727,188035
E01002005,42,30,3.3,529002,187630
E01002006,51,32,4.5,529323,187744
E01002007,47,29,4.5,528449,188110
E01002009,35,75,3.3,529003,187496
E01002061,55,36,4.9,531018,188018
E01002063,65,37,6.5,531203,187947
E01002064,70,35,7.9,531178,187627
E01002065,68,38,5.8,531215,187492
E01002034,157,58,19.2,533749,191742
E01002038,104,35,15.3,533779,190887
E01002041,115,66,14.1,533672,190648
E01032575,100,60,12.2,533392,191592
E01002755,90,15,13.7,530174,187870
E01002756,55,23,6.8,530367,187905
E01002758,91,40,12.3,530040,187507
E01002804,88,66,10.1,530523,187284
E01002807,94,46,9.7,530301,186928
E01002811,81,38,10.4,530709,187480
E01002753,76,53,9.4,529911,187090
E01002754,58,27,6.5,529212,187432
E01002757,64,26,8.6,529689,187741
E01002759,38,38,3.9,529578,187358
E01002760,103,51,14.8,530021,187131
E01002772,85,57,7.7,529622,186685
E01002735,66,45,6.5,531184,186967
E01002805,62,34,5.8,530650,187461
E01002806,78,31,8,530695,187338
E01002808,81,44,7.1,530499,186613
